state,total_users,cell_with_manufacturer_mw,cell_with_reseller_mw,module_with_manufacturer_mw,module_with_reseller_mw,cell_unclaimed_with_manufacturer_mw,cell_unclaimed_with_reseller_mw,module_unclaimed_with_manufacturer_mw,module_unclaimed_with_reseller_mw,scraped_at
Kerala,1519,0.0,0.0,0.0,383.77078000037,0.0,0.0,0.0,105.27707958529936,2026-07-28T01:15:34
Uttarakhand,702,110.08808302879333,0.0,49.276792231947184,98.25243854155997,0.0,0.0,13.71228976547718,35.7806551248068,2026-07-28T01:15:34
Andhra Pradesh,1203,49.600894927978516,0.3947145938873291,0.0,174.68237252370454,5.749411106109619,10.736793518066406,0.0,29.474050607299432,2026-07-28T01:15:34
Chhattisgarh,885,58.64120062999427,0.0,4.23542582988739,106.65108941937797,0.0,0.0,53.54313199897297,30.45551003172295,2026-07-28T01:15:34
Odisha,938,3.9504252076148987,0.0,0.1527603156864643,120.392572794226,0.0,0.0,11.400140553712845,64.3095101127401,2026-07-28T01:15:34
Assam,1228,0.0,0.0,0.0,99.7007159240311,0.0,0.0,0.0,16.040204956720117,2026-07-28T01:15:34
Jharkhand,103,3.728747844696045,0.0,2.3989779949188232,54.55749524809653,0.0,0.0,9.970725059509277,16.9338705947157,2026-07-28T01:15:34
Himachal Pradesh,123,20.619277954101562,0.0491915971506387,0.0,15.527762786427047,23.749027252197266,0.0,0.0,3.950700064393459,2026-07-28T01:15:34
Jammu and Kashmir,198,0.0,0.0,0.0,46.49520983005641,0.0,0.0,0.0,15.456615245668218,2026-07-28T01:15:34
Punjab,385,4.361559867858887,0.0,0.0989999920129776,28.990000636025798,0.0,0.0,0.28460001945495605,9.84009997616522,2026-07-28T01:15:34
Bihar,428,0.0,0.0,0.0,32.59305049164686,0.0,0.0,0.0,6.038419872580562,2026-07-28T01:15:34
Goa,49,5.404891490936279,0.0,4.382964134216309,5.520268580527045,0.0,0.0,1.8438650369644165,1.2041350239887834,2026-07-28T01:15:34
Jammu And Kashmir,135,0.0,0.0,0.0,8.347835216496605,0.0,0.0,0.0,0.17217499832622707,2026-07-28T01:15:34
Tripura,54,0.0,0.0,0.0,3.2072605930734426,0.0,0.0,0.0,0.5553150037303567,2026-07-28T01:15:34
Chandigarh,16,0.0,0.0,0.0,2.0427103402325884,0.0,0.0,0.0,0.8444799946155399,2026-07-28T01:15:34
Puducherry,45,0.0,0.0,0.0,1.4077298496267758,0.0,0.0,0.0,0.8442099851090461,2026-07-28T01:15:34
Manipur,25,0.0,0.0,0.0,1.7992893969640136,0.0,0.0,0.0,0.2066800002939999,2026-07-28T01:15:34
Nagaland,10,0.0,0.0,0.0,0.8250250723212957,0.0,0.0,0.0,0.028919999778736383,2026-07-28T01:15:34
Mizoram,12,0.0,0.0,0.0,0.5555101883364841,0.0,0.0,0.0,0.06931499880738556,2026-07-28T01:15:34
Andaman and Nicobar Islands,4,0.0,0.0,0.0,0.30244492180645466,0.0,0.0,0.0,0.04698000010102987,2026-07-28T01:15:34
Meghalaya,2,0.0,0.0,0.0,0.2190300151705742,0.0,0.0,0.0,0.030400000512599945,2026-07-28T01:15:34
Dadra and Nagar Haveli,2,0.0,0.0,0.0,0.16667991876602173,0.0,0.0,0.0,0.0,2026-07-28T01:15:34
Ladakh,6,0.0,0.0,0.0,0.1430299850180745,0.0,0.0,0.0,0.003000000026077032,2026-07-28T01:15:34
Andaman And Nicobar Islands,2,0.0,0.0,0.0,0.12801492772996426,0.0,0.0,0.0,0.0,2026-07-28T01:15:34
Daman and Diu,1,0.0,0.0,0.0,0.09528998285531998,0.0,0.0,0.0,0.0,2026-07-28T01:15:34
Arunachal Pradesh,2,0.0,0.0,0.0,0.05250499676913023,0.0,0.0,0.0,0.0186149999499321,2026-07-28T01:15:34
The Dadra And Nagar Haveli And Daman And Diu,2,0.0,0.0,0.0,0.0417749973712489,0.0,0.0,0.0,0.0,2026-07-28T01:15:34
Sikkim,2,0.0,0.0,0.0,0.015150001156143844,0.0,0.0,0.0,0.0239499993622303,2026-07-28T01:15:34
