calendar_year,month,month_number,maker,registrations,annual_maker_total,source,source_url,scraped_at
2026,2026-01,1,BHARAT BHUSHAN ENGNEERING WORK,6,24,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHARAT MECHANICAL WORKS,1,5,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHARATH ENGINEERING WORKS,10,50,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHARATH MOTOCORP,16,61,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHARATHI TRAILERS,2,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHASKARA INDUSTRIES,7,17,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHAVANI TROLI WORKS,2,2,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHAVE ELECTRIC VEHICLES PVT LTD,97,399,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHM AUTOMOTIVES PVT LTD,255,1235,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHOGAL COMBINE SPARE PARTS,1,18,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHOLE SHANKAR MOTOR BODY,6,10,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
